timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:54:08-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.07%,59.93MiB / 160MiB,37.46%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:08-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.65%,60.91MiB / 160MiB,38.07%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.07%,59.88MiB / 160MiB,37.43%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:12-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.06%,60.84MiB / 160MiB,38.02%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.08%,60.03MiB / 160MiB,37.52%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:16-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.08%,60.83MiB / 160MiB,38.02%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,1.68%,60.05MiB / 160MiB,37.53%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:20-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:24-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.10%,61.13MiB / 160MiB,38.21%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:24-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.08%,60.04MiB / 160MiB,37.52%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:24-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:28-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.91%,61.41MiB / 160MiB,38.38%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:28-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.09%,59.88MiB / 160MiB,37.42%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:28-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
2026-05-29T18:54:32-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,1.70%,61.26MiB / 160MiB,38.29%,2.55MB / 1.04MB,643kB / 0B,70
2026-05-29T18:54:32-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.08%,59.9MiB / 160MiB,37.44%,2.54MB / 1.05MB,868kB / 0B,15
2026-05-29T18:54:32-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.12MiB / 30MiB,40.42%,7.23MB / 7.76MB,0B / 12.3kB,15
